order_date,first_cate_code,second_cate_code,ord_qty
2015/10/10,302,408,211
2015/10/10,303,401,224
2015/10/10,303,410,10
2015/10/10,305,412,1156
2015/10/10,306,402,142
2015/10/10,306,407,2514
2015/10/10,307,403,219
2015/10/10,308,404,435
2015/10/11,301,405,41
2015/10/11,302,408,278
2015/10/11,305,412,660
2015/10/11,306,402,121
2015/10/11,306,407,1259
2015/10/11,307,403,14
2015/10/11,308,404,1047
2015/10/12,303,410,7
2015/10/12,305,412,246
2015/10/12,306,407,1565
2015/10/12,307,403,342
2015/10/12,308,404,390
2015/10/13,301,405,26
2015/10/13,302,408,338
2015/10/13,303,401,35
2015/10/13,305,412,22
2015/10/13,306,402,79
2015/10/13,306,407,1206
2015/10/13,307,403,394
2015/10/14,301,405,17
2015/10/14,302,408,195
2015/10/14,303,401,7
2015/10/14,305,412,157
2015/10/14,306,402,2243
2015/10/14,306,407,489
2015/10/14,307,403,33
2015/10/14,308,404,735
2015/10/15,302,408,133
2015/10/15,303,401,95
2015/10/15,303,410,13
2015/10/15,305,412,224
2015/10/15,306,402,503
2015/10/15,306,407,1370
2015/10/16,301,405,108
2015/10/16,302,408,637
2015/10/16,303,401,227
2015/10/16,305,412,414
2015/10/16,306,402,409
2015/10/16,306,407,1842
2015/10/16,307,403,26
2015/10/16,308,404,551
2015/10/17,302,408,125
2015/10/17,303,401,341
2015/10/17,305,412,1060
2015/10/17,306,402,730
2015/10/17,306,407,716
2015/10/17,307,403,64
2015/10/18,301,405,23
2015/10/18,302,408,297
2015/10/18,303,401,155
2015/10/18,305,412,523
2015/10/18,306,407,2331
2015/10/18,307,403,21
2015/10/19,301,405,29
2015/10/19,302,408,329
2015/10/19,303,401,117
2015/10/19,305,412,471
2015/10/19,306,402,93
2015/10/19,306,407,726
2015/10/19,307,403,382
2015/10/20,302,408,585
2015/10/20,303,401,306
2015/10/20,303,410,11
2015/10/20,305,412,423
2015/10/20,306,407,3160
2015/10/20,307,403,12
2015/10/20,308,404,436
2015/10/21,301,405,131
2015/10/21,302,408,247
2015/10/21,303,401,38
2015/10/21,305,412,412
2015/10/21,306,407,1629
2015/10/21,308,404,101
2015/10/22,301,405,86
2015/10/22,302,408,336
2015/10/22,303,401,135
2015/10/22,303,410,6
2015/10/22,305,412,183
2015/10/22,306,402,49
2015/10/22,306,407,1074
2015/10/22,307,403,403
2015/10/22,308,404,76
2015/10/23,301,405,117
2015/10/23,302,408,45
2015/10/23,303,401,551
2015/10/23,305,412,721
2015/10/23,306,407,994
2015/10/23,308,404,333
2015/10/24,301,405,375
2015/10/24,303,401,183
2015/10/24,305,412,62
2015/10/24,306,402,109
2015/10/24,306,407,784
2015/10/24,307,403,335
2015/10/24,308,404,53
2015/10/25,301,405,368
2015/10/25,302,408,314
2015/10/25,303,401,185
2015/10/25,305,412,693
2015/10/25,306,407,634
2015/10/25,307,403,1172
2015/10/25,308,404,624
2015/10/26,301,405,277
2015/10/26,302,408,157
2015/10/26,303,401,12
2015/10/26,305,412,76
2015/10/26,306,407,215
2015/10/26,307,403,195
2015/10/26,308,404,306
2015/10/27,301,405,63
2015/10/27,302,408,149
2015/10/27,303,401,789
2015/10/27,305,412,157
2015/10/27,306,407,300
2015/10/27,307,403,223
2015/10/27,308,404,171
2015/10/28,301,405,62
2015/10/28,302,408,154
2015/10/28,303,401,142
2015/10/28,304,409,450
2015/10/28,305,412,316
2015/10/28,306,407,547
2015/10/28,307,403,146
2015/10/28,308,404,337
2015/10/29,302,408,267
2015/10/29,303,401,37
2015/10/29,305,412,449
2015/10/29,306,402,388
2015/10/29,306,407,571
2015/10/29,307,403,1061
2015/10/29,308,404,483
2015/10/30,301,405,1450
2015/10/30,302,408,227
2015/10/30,303,401,389
2015/10/30,305,412,35
2015/10/30,306,407,1699
2015/10/30,307,403,1237
2015/10/30,308,404,23
2015/10/31,301,405,84
2015/10/31,302,408,364
2015/10/31,303,401,1019
2015/10/31,303,410,18
2015/10/31,305,412,150
2015/10/31,306,402,208
2015/10/31,306,407,2326
2015/10/31,307,403,133
2015/10/31,308,404,63
2015/10/4,306,402,26
2015/10/4,306,407,6
2015/10/5,306,407,388
2015/10/5,307,403,54
2015/10/6,302,408,151
2015/10/6,306,407,1884
2015/10/6,307,403,205
2015/10/7,302,408,268
2015/10/7,303,401,26
2015/10/7,305,412,440
2015/10/7,306,407,677
2015/10/7,307,403,4
2015/10/8,301,405,158
2015/10/8,302,408,108
2015/10/8,303,401,48
2015/10/8,305,412,1103
2015/10/8,306,402,28
2015/10/8,306,407,263
2015/10/8,307,403,359
2015/10/8,308,404,829
2015/10/9,301,405,117
2015/10/9,302,408,256
2015/10/9,303,401,181
2015/10/9,305,412,31
2015/10/9,306,402,54
2015/10/9,306,407,2296
2015/10/9,307,403,309
2015/10/9,308,404,517
2015/11/1,305,412,31
2015/11/10,301,405,258
2015/11/10,302,408,347
2015/11/10,306,402,571
2015/11/10,306,407,1103
2015/11/10,308,404,229
2015/11/11,302,408,402
2015/11/11,305,412,138
2015/11/11,306,407,1049
2015/11/11,308,404,1262
2015/11/12,301,405,90
2015/11/12,302,408,327
2015/11/12,304,409,233
2015/11/12,305,412,169
2015/11/12,306,407,1337
2015/11/12,307,403,121
2015/11/13,302,408,770
2015/11/13,303,401,76
2015/11/13,305,412,59
2015/11/13,306,407,2080
2015/11/13,307,403,22
2015/11/14,302,408,108
2015/11/14,303,401,105
2015/11/14,305,412,440
2015/11/14,306,407,1293
2015/11/14,308,404,986
2015/11/15,301,405,18
2015/11/15,302,408,86
2015/11/15,303,401,540
2015/11/15,305,412,169
2015/11/15,306,402,1206
2015/11/15,306,407,1554
2015/11/16,302,408,313
2015/11/16,303,401,139
2015/11/16,305,412,2365
2015/11/16,306,402,41
2015/11/16,306,407,900
2015/11/16,307,403,11
2015/11/16,308,404,34
2015/11/17,301,405,55
2015/11/17,302,408,521
2015/11/17,303,401,121
2015/11/17,303,410,7
2015/11/17,305,412,3572
2015/11/17,306,402,201
2015/11/17,306,407,821
2015/11/17,307,403,110
2015/11/18,301,405,102
2015/11/18,302,408,83
2015/11/18,303,401,351
2015/11/18,303,410,10
2015/11/18,304,409,10
2015/11/18,305,412,781
2015/11/18,306,402,1564
2015/11/18,306,407,660
2015/11/18,307,403,385
2015/11/19,301,405,171
2015/11/19,302,408,782
2015/11/19,303,401,150
2015/11/19,304,409,10
2015/11/19,305,412,299
2015/11/19,306,402,2604
2015/11/19,306,407,2071
2015/11/19,307,403,161
2015/11/2,303,401,10
2015/11/20,301,405,162
2015/11/20,302,408,700
2015/11/20,303,401,212
2015/11/20,304,409,69
2015/11/20,305,412,505
2015/11/20,306,407,4306
2015/11/20,308,404,243
2015/11/21,302,408,1369
2015/11/21,303,401,10
2015/11/21,305,412,594
2015/11/21,306,402,199
2015/11/21,306,407,4602
2015/11/21,307,403,12
2015/11/22,303,401,256
2015/11/22,305,412,269
2015/11/22,308,404,35
2015/11/23,303,401,102
2015/11/23,303,410,9
2015/11/23,305,412,15
2015/11/23,306,407,459
2015/11/24,302,408,213
2015/11/24,303,401,193
2015/11/24,305,412,140
2015/11/24,306,402,79
2015/11/24,306,407,579
2015/11/24,307,403,807
2015/11/25,301,405,162
2015/11/25,302,408,518
2015/11/25,303,401,130
2015/11/25,305,412,793
2015/11/25,306,402,103
2015/11/25,306,407,956
2015/11/25,307,403,55
2015/11/25,308,404,144
2015/11/26,302,408,1226
2015/11/26,303,401,309
2015/11/26,303,410,5
2015/11/26,304,409,43
2015/11/26,305,412,174
2015/11/26,306,407,1383
2015/11/26,307,403,14
2015/11/27,302,408,753
2015/11/27,303,401,105
2015/11/27,304,409,25
2015/11/27,305,412,470
2015/11/27,306,402,1084
2015/11/27,306,407,2149
2015/11/28,302,408,54
2015/11/28,303,401,280
2015/11/28,305,412,510
2015/11/28,306,402,81
2015/11/28,306,407,2347
2015/11/28,308,404,68
2015/11/29,301,405,38
2015/11/29,302,408,519
2015/11/29,304,409,21
2015/11/29,306,402,781
2015/11/29,306,407,2629
2015/11/29,307,403,62
2015/11/29,308,404,774
2015/11/3,301,405,299
2015/11/3,302,408,167
2015/11/3,303,401,3
2015/11/3,304,409,9
2015/11/3,305,412,201
